doc_id,table_id,row_index,ColumnA,ColumnB,ColumnC,ColumnD,ColumnE,ColumnF,ColumnG,ColumnH
WHO_TB_handbook_module2_screening_2021,Table A.4.1,1,Algorithm,TP,FP,FN,TN,% of prevalent cases detected,PPV,NPV
WHO_TB_handbook_module2_screening_2021,Table A.4.1,2,1,32,12,19,938,63%,72%,98%
WHO_TB_handbook_module2_screening_2021,Table A.4.1,3,2,33,9,17,941,67%,79%,98%
WHO_TB_handbook_module2_screening_2021,Table A.4.1,4,3,26,7,24,943,53%,78%,98%
WHO_TB_handbook_module2_screening_2021,Table A.4.1,5,4,36,16,14,934,72%,70%,99%
WHO_TB_handbook_module2_screening_2021,Table A.4.1,6,5,29,5,21,945,59%,85%,98%
WHO_TB_handbook_module2_screening_2021,Table A.4.1,7,6,36,16,14,934,72%,70%,99%
WHO_TB_handbook_module2_screening_2021,Table A.4.1,8,7,35,15,15,935,71%,70%,98%
WHO_TB_handbook_module2_screening_2021,Table A.4.1,9,8,24,6,26,944,48%,81%,97%
WHO_TB_handbook_module2_screening_2021,Table A.4.1,10,9,35,15,15,935,71%,70%,98%
WHO_TB_handbook_module2_screening_2021,Table A.4.1,11,11,36,19,14,931,72%,65%,99%
