doc_id,table_id,row_index,ColumnA,ColumnB,ColumnC
WHO_TB_handbook_module4_treatment_2025,Table 1.,1,1,Create an environment that helps with communication,"Meet the person in a private space, if possible."
WHO_TB_handbook_module4_treatment_2025,Table 1.,2,,,Be welcoming and conduct introductions in a culturally appropriate manner.
WHO_TB_handbook_module4_treatment_2025,Table 1.,3,,,"Use culturally appropriate body language, facial expressions and eye contact to help to build trust."
WHO_TB_handbook_module4_treatment_2025,Table 1.,4,,,Explain that information discussed during the visit will be kept confidential and will not be shared without permission.
WHO_TB_handbook_module4_treatment_2025,Table 1.,5,,,"If caregivers are present, suggest speaking with the person alone (except for young children) and obtain consent to share clinical information."
WHO_TB_handbook_module4_treatment_2025,Table 1.,6,,,"If a male health care provider is interviewing a young woman, consider having another female staff member or caregiver present."
WHO_TB_handbook_module4_treatment_2025,Table 1.,7,2,Involve the person,"Include the patient (and with their consent, their caregivers and family) in all aspects of assessment and management as far as possible. This includes children, adolescents and older adults."
WHO_TB_handbook_module4_treatment_2025,Table 1.,8,3,Start by listening,Actively listen. Avoid distractions.
WHO_TB_handbook_module4_treatment_2025,Table 1.,9,,,Be understanding and sensitive.
WHO_TB_handbook_module4_treatment_2025,Table 1.,10,,,Use non-verbal communication to show that you are listening.
WHO_TB_handbook_module4_treatment_2025,Table 1.,11,,,Allow the person to speak without interruption.
WHO_TB_handbook_module4_treatment_2025,Table 1.,12,,,"If the history is unclear, be patient and ask for explanations."
WHO_TB_handbook_module4_treatment_2025,Table 1.,13,,,"For children, use language that they can understand. For example, ask about their interests (toys, friends, school)."
WHO_TB_handbook_module4_treatment_2025,Table 1.,14,,,"For adolescents, show that you understand their feelings and situation."
WHO_TB_handbook_module4_treatment_2025,Table 1.,15,4,"Be friendly, respectful and nonjudgemental at all times",Always be respectful.
WHO_TB_handbook_module4_treatment_2025,Table 1.,16,,,Do not judge people by their behaviours and appearance.
WHO_TB_handbook_module4_treatment_2025,Table 1.,17,,,Stay calm and patient.
WHO_TB_handbook_module4_treatment_2025,Table 1.,18,5,Use good verbal communication skills,Use simple language. Be clear and concise.
WHO_TB_handbook_module4_treatment_2025,Table 1.,19,,,"Use open-ended questions, summarizing and clarifying statements."
WHO_TB_handbook_module4_treatment_2025,Table 1.,20,,,Summarize and repeat key points.
WHO_TB_handbook_module4_treatment_2025,Table 1.,21,,,Allow the person to ask questions about the information provided.
WHO_TB_handbook_module4_treatment_2025,Table 1.,22,6,Respond with sensitivity when people disclose difficult experiences,Show extra sensitivity with difficult topics.
WHO_TB_handbook_module4_treatment_2025,Table 1.,23,,,Remind the person that what they tell you will remain confidential.
WHO_TB_handbook_module4_treatment_2025,Table 1.,24,,,Acknowledge that it may have been difficult for the person to talk with you about their thoughts and concerns.
