doc_id,table_id,row_index,ColumnA,ColumnB,ColumnC
WHO_TB_handbook_module4_treatment_2025,Table 2.,1,Rights of people affected by TB,,
WHO_TB_handbook_module4_treatment_2025,Table 2.,2,Article 2,The right to life.,
WHO_TB_handbook_module4_treatment_2025,Table 2.,3,Article 3,The right to be treated with dignity and respect.,
WHO_TB_handbook_module4_treatment_2025,Table 2.,4,Article 4,The right to the highest attainable standard of physical and mental health (right to health).,
WHO_TB_handbook_module4_treatment_2025,Table 2.,5,Article 5,"The right to freedom from torture and other cruel, inhuman or degrading treatment.",
WHO_TB_handbook_module4_treatment_2025,Table 2.,6,Article 6,The right to equality and freedom from discrimination.,
WHO_TB_handbook_module4_treatment_2025,Table 2.,7,Article 7,The right to liberty and security of person.,
WHO_TB_handbook_module4_treatment_2025,Table 2.,8,Article 8,The right to freedom of movement.,
WHO_TB_handbook_module4_treatment_2025,Table 2.,9,Article 9,The right to privacy and family life.,
WHO_TB_handbook_module4_treatment_2025,Table 2.,10,Article 10,The right to confidentiality.,
WHO_TB_handbook_module4_treatment_2025,Table 2.,11,Article 11,The right to information.,
WHO_TB_handbook_module4_treatment_2025,Table 2.,12,Article 12,The right to informed consent.,
WHO_TB_handbook_module4_treatment_2025,Table 2.,13,Article 13,The right to education.,
WHO_TB_handbook_module4_treatment_2025,Table 2.,14,Article 14,The right to work.,
WHO_TB_handbook_module4_treatment_2025,Table 2.,15,Article 15,The right to adequate food.,
WHO_TB_handbook_module4_treatment_2025,Table 2.,16,Article 16,The right to housing.,
WHO_TB_handbook_module4_treatment_2025,Table 2.,17,Article 17,The right to water and sanitation.,
WHO_TB_handbook_module4_treatment_2025,Table 2.,18,Article 18,The right to social security.,
WHO_TB_handbook_module4_treatment_2025,Table 2.,19,Article 19,The right to freedom of expression.,
WHO_TB_handbook_module4_treatment_2025,Table 2.,20,Article 20,The right to freedom of assembly and association.,
WHO_TB_handbook_module4_treatment_2025,Table 2.,21,Article 21,The right to participation .,
WHO_TB_handbook_module4_treatment_2025,Table 2.,22,Article 22,The right to justice and due process.,
WHO_TB_handbook_module4_treatment_2025,Table 2.,23,Article 23,The right to enjoy the benefits of scientific progress (right to science).,
WHO_TB_handbook_module4_treatment_2025,Table 2.,24,Obligations and responsibilities,,
WHO_TB_handbook_module4_treatment_2025,Table 2.,25,Article 24,State obligations under international and regional human rights law.,
WHO_TB_handbook_module4_treatment_2025,Table 2.,26,Article 25,Non-state actor responsibilities under international and regional human rights law.,
