doc_id,table_id,row_index,ColumnA,ColumnB,ColumnC,ColumnD
WHO_TB_handbook_module1_TPT_2024,Table 6.,1,,Regimen,No. of participants,Frequency % (95% CI) (reference)
WHO_TB_handbook_module1_TPT_2024,Table 6.,2,Grade 3–4 adverse events a,6H or 9H,13 532,2.7% (1.3 % ; 5.2%) (130)
WHO_TB_handbook_module1_TPT_2024,Table 6.,3,Grade 3–4 adverse events a,1HP,1 488,16% (NA) (64)
WHO_TB_handbook_module1_TPT_2024,Table 6.,4,Grade 3–4 adverse events a,3HP,9 867,3.6% (2.2 % ; 6%) (129)
WHO_TB_handbook_module1_TPT_2024,Table 6.,5,Grade 3–4 adverse events a,4R,3 865,0.6% (0.1 % ; 3.6%) (130)
WHO_TB_handbook_module1_TPT_2024,Table 6.,6,Grade 3–4 adverse events a,3 HR or 4HR,1 553,0.9% (0.3% to 3%) (130)
WHO_TB_handbook_module1_TPT_2024,Table 6.,7,Grade 3–4 adverse events a,6Lfx (< 18 years),452,0.9% (NA) b
WHO_TB_handbook_module1_TPT_2024,Table 6.,8,Grade 3–4 adverse events a,6Lfx (≥ 14 years),960,1.0% (0.3 % ; 2.4%) b
WHO_TB_handbook_module1_TPT_2024,Table 6.,9,Discontinued TPT because of adverse events,6H or 9H,102 213,4.1% (3.2 % ; 5.2%) (130)
WHO_TB_handbook_module1_TPT_2024,Table 6.,10,Discontinued TPT because of adverse events,1HP,1 488,1.1% (NA) (64)
WHO_TB_handbook_module1_TPT_2024,Table 6.,11,Discontinued TPT because of adverse events,3HP,1 802,0.6% (0.3 % ; 10.2%) (110)
WHO_TB_handbook_module1_TPT_2024,Table 6.,12,Discontinued TPT because of adverse events,4R,11 171,2.9% (1.8 % ; 4.6%) (130)
WHO_TB_handbook_module1_TPT_2024,Table 6.,13,Discontinued TPT because of adverse events,3HR or 4HR,8 458,3.8% (3.4 % ; 4.3%) (130)
WHO_TB_handbook_module1_TPT_2024,Table 6.,14,Discontinued TPT because of adverse events,6Lfx (< 18 years),453,1.3% (NA) b
WHO_TB_handbook_module1_TPT_2024,Table 6.,15,Discontinued TPT because of adverse events,6Lfx (≥ 14 years),1 412,5.5% (NA) b
